Accounts Manager Identification Number,Customer Identification Number,Innovative,Relationship Rating,"Visited Tech Center (0=NO, 1=YES)","ALPHA (0=not interested, 1=yes interested, 2=Maybe)","BETA(0=not interested, 1=yes interested, 2=Maybe)","PILOT(0=not interested, 1=yes interested, 2=Maybe)","Have they done pilot with us? (0=NO, 1=YES, 2=Maybe)",Improve occupancy via differentiation / positioning,Increase rate/bed through add-on services,Increase 5-star rating,Staff efficiency / lower cost of delivering care,Insurance costs,Utilities costs,Health & wellness (Clinical & Rehab),Resident monitoring and safety,Rehospitalization / ACO partnerships,Care coordination across settings,Food & Nutrition,Telehealth and remote care delivery,Rural health and wellness,Number of pilots in progress
4,79,1,1,0,0,0,0,0,3,2,0,1,0,0,4,5,0,0,0,0,0,0
4,80,3,3,0,0,0,1,0,2,1,0,3,0,0,5,4,0,0,0,0,0,0
5,81,4,5,1,1,1,1,1,1,5,0,0,0,4,2,0,0,0,0,3,0,0
5,82,4,4,0,1,1,1,0,2,0,0,1,0,0,0,5,3,0,0,0,4,0
5,83,2,3,0,0,0,0,0,1,0,2,0,0,0,3,0,0,4,5,0,0,0
5,84,3,4,1,1,1,1,0,1,5,4,0,0,0,0,0,3,2,0,0,0,0
5,85,3,4,1,1,1,1,0,1,5,4,0,0,0,0,0,3,2,0,0,0,0
5,86,4,5,1,1,1,1,1,1,0,5,0,4,0,0,0,2,0,3,0,0,0
6,87,5,3,0,1,1,1,0,1,0,0,4,0,0,2,3,0,5,0,0,0,0
6,88,4,5,0,1,1,1,0,1,0,0,0,0,0,3,2,0,5,4,0,0,0
6,89,2,3,0,0,0,0,0,1,0,0,2,0,0,4,3,0,0,5,0,0,0
6,90,3,3,0,0,0,1,0,1,0,0,4,0,0,2,0,0,3,5,0,0,0
6,91,2,3,0,0,0,0,0,1,3,0,2,0,0,4,0,0,0,5,0,0,0
6,92,3,4,0,0,0,1,0,1,2,0,0,0,0,4,5,0,0,3,0,0,0
6,93,3,4,0,0,1,1,0,1,0,0,5,0,0,2,0,0,3,4,0,0,0
6,94,4,4,0,0,0,1,0,1,0,0,4,0,0,3,5,0,0,2,0,0,0
6,95,3,3,0,0,0,0,0,1,5,0,3,0,0,4,0,0,0,2,0,0,0
6,96,2,3,0,0,0,0,0,1,0,0,2,0,0,5,4,0,0,3,0,0,0
6,97,4,4,1,1,1,1,0,1,5,0,0,0,0,2,0,0,3,4,0,0,0
6,98,3,3,0,0,0,1,0,1,0,0,4,0,0,3,5,0,0,2,0,0,0
6,99,2,1,0,0,0,0,0,1,2,0,3,0,0,4,0,0,5,0,0,0,0
6,100,3,2,0,0,0,1,0,1,3,0,4,0,0,0,5,0,0,2,0,0,0
6,101,3,4,0,0,0,1,0,1,2,0,3,0,0,4,0,0,0,5,0,0,0
6,102,3,4,0,0,0,1,0,1,0,0,0,0,0,4,5,2,0,0,3,0,0
6,103,3,3,0,0,0,0,0,1,2,0,5,0,0,3,0,4,0,0,0,0,0
7,104,3,5,0,0,0,1,0,0,X,0,0,0,0,0,0,0,0,0,0,0,0
7,105,4,5,0,1,1,1,0,0,0,0,0,0,X,0,0,0,X,0,0,0,0
7,106,4,5,0,1,1,1,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0
8,107,4,5,0,0,1,1,0,4,5,0,0,0,0,1,3,0,2,0,0,0,0
8,108,3,5,0,0,1,1,0,0,5,0,4,0,0,0,2,0,1,3,0,0,0
8,109,2,5,0,0,0,1,0,0,4,0,3,0,0,1,2,0,5,0,0,0,0
8,110,4,4,0,1,1,1,0,3,4,0,5,0,0,1,0,2,0,0,0,0,0
8,111,3,4,0,0,1,1,0,5,0,0,0,0,0,1,4,0,2,3,0,0,0
8,112,4,5,0,1,1,1,0,2,5,0,0,0,0,1,4,3,0,0,0,0,0
8,113,4,5,0,1,1,1,0,5,0,0,4,0,0,2,0,3,1,0,0,0,0
8,114,4,5,0,1,1,1,0,0,5,0,0,0,0,3,2,4,1,0,0,0,0
8,115,5,5,0,1,1,1,0,0,4,0,0,0,0,2,0,5,1,3,0,0,0
9,116,3,5,0,0,0,1,0,1,0,2,3,0,0,5,0,0,0,4,0,0,0
9,117,5,5,1,1,1,1,1,0,1,0,3,0,0,0,0,5,2,0,4,0,0
9,118,3,4,0,0,0,1,0,2,0,1,4,0,0,5,0,3,0,0,0,0,0
9,119,3,5,0,1,1,1,0,1,4,3,0,0,0,5,0,2,0,0,0,0,0
9,120,3,5,0,0,1,1,0,1,0,2,4,0,0,0,0,0,0,5,3,0,0
9,121,2,4,0,0,0,0,0,1,0,3,2,0,0,5,0,4,0,0,0,0,0
10,122,5,5,1,1,1,1,1,1,0,0,4,3,0,5,2,0,0,0,0,0,0
10,123,2,3,0,0,0,1,0,5,0,0,1,0,0,3,4,0,2,0,0,0,0
10,124,3,3,1,0,1,1,0,1,0,0,2,0,5,4,3,0,0,0,0,0,0
10,125,4,4,0,0,0,1,0,1,0,0,2,5,0,4,3,0,0,0,0,0,0
10,126,3,5,1,0,0,0,0,1,2,0,3,4,0,0,5,0,0,0,0,0,0
10,127,2,3,0,0,0,1,0,2,0,0,1,3,4,0,5,0,0,0,0,0,0
10,128,4,4,1,1,1,1,0,3,2,0,1,0,4,0,5,0,0,0,0,0,0
10,129,5,5,1,1,1,1,1,5,0,0,0,0,0,2,0,0,3,4,0,1,0
10,130,5,5,1,1,1,1,0,4,0,0,1,0,0,5,3,0,2,0,0,0,0
10,131,5,4,0,1,1,1,1,0,0,0,0,3,1,0,0,0,4,0,5,2,0
10,132,5,4,0,1,1,1,1,1,0,0,0,0,0,0,4,3,2,0,0,5,0
10,133,2,3,0,0,0,1,0,1,5,0,2,4,0,0,3,0,0,0,0,0,0
10,134,3,3,1,0,0,0,0,0,0,0,1,0,5,2,3,0,4,0,0,0,0
10,135,4,4,0,0,1,1,0,3,0,0,1,0,2,0,4,0,5,0,0,0,0
10,136,2,2,0,0,0,0,0,0,0,0,1,3,2,0,4,0,5,0,0,0,0
11,137,5,5,1,1,1,1,1,1,0,0,2,0,0,4,0,5,0,0,3,0,0
11,138,3,4,0,0,0,0,0,1,4,5,2,0,0,0,0,3,0,0,0,0,0
11,139,2,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,140,1,1,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,141,1,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,142,3,5,0,2,2,2,0,1,0,0,2,0,0,4,0,3,0,5,0,0,0
11,143,1,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,144,2,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,145,1,1,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,146,5,5,1,1,1,1,0,1,4,5,2,0,0,0,0,3,0,0,0,0,0
11,147,1,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,148,3,2,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,149,1,2,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,150,2,3,0,0,0,0,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,151,2,5,0,1,1,1,1,1,3,4,2,0,0,5,0,0,0,0,0,0,0
11,152,1,4,0,2,2,2,0,1,3,4,2,0,0,5,0,0,0,0,0,0,0
12,153,4,5,1,0,1,1,0,5,0,4,3,0,0,1,0,0,2,0,0,0,0
12,154,5,5,1,0,1,1,1,4,0,0,5,0,0,3,0,0,2,0,1,0,0
13,155,4,4,0,0,1,1,0,2,1,0,3,4,0,0,0,0,0,0,0,0,0
13,156,4,4,0,0,0,1,0,1,3,0,2,0,0,5,4,0,0,0,0,0,0
13,157,5,5,1,0,1,1,0,1,0,4,2,0,0,3,0,0,5,0,0,0,0
13,158,4,4,1,0,0,1,0,1,3,0,2,0,0,4,5,0,0,0,0,0,0
13,159,4,3,0,0,0,1,0,2,1,0,3,0,0,5,4,0,0,0,0,0,0
